LocationID,OwnerCSZ,ManagerCSZ,ZIp1,ZIp2,ARPLatitude,ARPLatitudeS,ARPLongitude,ARPLongitudeS
'8B1,"ANTRIM, NH 03440","ANTRIM, NH 03440",03440,03440,43-03-40.6000N,155020.6000N,071-54-19.3000W,258859.3000W
'NH28,"HILLSBORO, NH 03244-2160","HILLSBORO, NH 03244-2160",03244-2160,03244-2160,43-06-36.0000N,155196.0000N,071-55-02.4000W,258902.4000W
'61NH,"HOOKSETT, NH 03106","HOOKSETT, NH 03106",03106,03106,43-03-21.5000N,155001.5000N,071-26-48.3000W,257208.3000W
'NH03,"HUDSON, NH 03015-3115",,03015-3115,#VALUE!,42-47-39.0000N,154059.0000N,071-22-04.0000W,256924.0000W
'NH21,"WALPOLE, MA 02081","WALPOLE, MA 02081",02081,02081,44-08-53.2440N,158933.2440N,071-10-05.2600W,256205.2600W
'63NH,"JACKSON, NH 03846","JACKSON, NH 03846",03846,03846,44-08-30.2000N,158910.2000N,071-10-52.0000W,256252.0000W
'NH51,"DERRY, NH 03038","DERRY, NH 09720",03038,09720,44-09-21.3700N,158961.3700N,071-09-24.7300W,256164.7300W
'AFN,"JAFFREY, NH 03452","JAFFREY, NH 03452",03452,03452,42-48-18.4830N,154098.4830N,072-00-10.8790W,259210.8790W
'NH62,"BEDFORD, MA 01730","BEDFORD, MA 01730",01730,01730,42-47-55.3040N,154075.3040N,071-58-58.2860W,259138.2860W
'14NH,"KEENE, NH 03431","KEENE, NH 03431",03431,03431,42-56-56.2500N,154616.2500N,072-17-30.8300W,260250.8300W
'EEN,"KEENE, NH 03431","KEENE, NH 03431",03431,03431,42-53-54.2000N,154434.2000N,072-16-14.8000W,260174.8000W
'06NH,"KENSINGTON, NH 03833","KENSINGTON, NH 03833",03833,03833,42-55-42.3200N,154542.3200N,070-58-23.2000W,255503.2000W
'21NH,"KENSINGTON, NH 03833-6727","KENSINGTON, NH 03833-6727",03833-6727,03833-6727,42-55-01.0000N,154501.0000N,070-56-07.0000W,255367.0000W
'05NH,"KENSINGTON, NH 03833","KENSINGTON, NH 03833",03833,03833,42-55-25.9900N,154525.9900N,070-57-05.2200W,255425.2200W
'LCI,"GILFORD, NH 03429","GILFORD, NH 03429",03429,03429,43-34-22.9500N,156862.9500N,071-25-04.2300W,257104.2300W
'44NH,"LACONIA, NH 03246","LACONIA, NH 03246",03246,03246,43-31-40.6000N,156700.6000N,071-27-50.9000W,257270.9000W
'NH22,"MANCHESTER, NH 03101","MANCHESTER, NH 03105",03101,03105,44-30-13.2050N,160213.2050N,071-34-09.3040W,257649.3040W
'NH36,"LANCASTER, NH 03584","LANCASTER, NH 03584",03584,03584,44-29-11.4000N,160151.4000N,071-33-14.4000W,257594.4000W
'NH82,"LEBANON, NH 03756","LEBANON, NH 03756",03756,03756,43-40-39.3200N,157239.3200N,072-16-15.9500W,260175.9500W
'LEB,"LEBANON, NH 03766","WEST LEBANON, NH 03784",03766,03784,43-37-34.0000N,157054.0000N,072-18-15.1000W,260295.1000W
'26NH,"ETNA, NH 03750","ETNA, NH 03750",03750,03750,43-40-04.2000N,157204.2000N,072-12-09.8000W,259929.8000W
'2NH2,"LITCHFIELD, NH 03052","LITCHFIELD, NH 03052",03052,03052,42-51-17.5500N,154277.5500N,071-28-25.4000W,257305.4000W
'NH92,"LITTLETON, NH 03561","LITTLETON, NH 03561",03561,03561,44-19-03.2900N,159543.2900N,071-49-36.3800W,258576.3800W
'17NH,"LONDONDERRY, NH 03053","LONDONDERRY, NH 03053",03053,03053,42-49-26.0000N,154166.0000N,071-21-54.0000W,256914.0000W
'NH07,"LOUDON, NH 03301","LOUDON, NH 03301",03301,03301,43-16-49.3000N,155809.3000N,071-27-23.8000W,257243.8000W
'NH74,"LONDON, NH 03307","LONDON, NH 03307",03307,03307,43-20-27.2860N,156027.2860N,071-28-15.2570W,257295.2570W
'76NH,"LOUDON, NH 03307","LOUDON, NH 03307",03307,03307,43-21-30.2800N,156090.2800N,071-26-28.2500W,257188.2500W
'NH59,"LOUDON, NH 03307","LOUDON, NH 03275",03307,03275,43-21-30.2850N,156090.2850N,071-27-48.2570W,257268.2570W
'2NH6,"LOUDON, NH 03307","PEMBROKE, NH 03275",03307,03275,43-21-57.0000N,156117.0000N,071-27-21.0000W,257241.0000W
'18NH,"MANCHESTER, NH 03102","MANCHESTER, NH 03102",03102,03102,42-59-30.1200N,154770.1200N,071-28-26.7800W,257306.7800W
'NH48,"LEBANON, NH 03756",,03756,#VALUE!,42-59-05.8000N,154745.8000N,071-26-15.8000W,257175.8000W
'NH12,"HOOKSETT, NH 03106","HOOKSETT, NH 03106",03106,03106,43-02-30.0000N,154950.0000N,071-28-13.0000W,257293.0000W
'MHT,"MANCHESTER, NH 03101","MANCHESTER, NH 03103",03101,03103,42-55-58.1000N,154558.1000N,071-26-08.7000W,257168.7000W
'NH76,"MASON, NH 03048","MASON, NH 03048",03048,03048,42-43-44.3100N,153824.3100N,071-47-03.2600W,258423.2600W
'NH17,"MASON, NH 03048","MASON, NH 03048",03048,03048,42-43-39.2400N,153819.2400N,071-43-03.4000W,258183.4000W
'16NH,"MEREDITH, NH 03253","MEREDITH, NH 03253",03253,03253,43-36-15.0000N,156975.0000N,071-30-45.0000W,257445.0000W
'54NH,"MEREDITH, NH 03253","CENTER HARBOR, NH 03226",03253,03226,43-41-51.0000N,157311.0000N,071-29-45.0000W,257385.0000W
'92NH,"CENTER HARBOR, NH 03226","CENTER HARBOR, NH 03226",03226,03226,43-40-46.0000N,157246.0000N,071-31-10.0000W,257470.0000W
'NH77,"MEREDITH, NH 03253","MEREDITH, NH 03253",03253,03253,43-37-34.2690N,157054.2690N,071-33-33.2710W,257613.2710W
'2NH1,"MERRIMACK, NH 03054","MERRIMACK, NH 03054",03054,03054,42-51-36.5000N,154296.5000N,071-29-16.2000W,257356.2000W
'NH41,"MERRIMACK, NH 03054","MERRIMACK, NH 03054",03054,03054,42-49-01.3140N,154141.3140N,071-30-19.2410W,257419.2410W
'NH53,"MERRIMACK, NH 03054","MERRIMACK, NH 83054",03054,83054,42-49-51.3130N,154191.3130N,071-30-39.2420W,257439.2420W
'56NH,"BARRINGTON, NH 03825","BARRINGTON, NH 03825",03825,03825,43-28-52.0000N,156532.0000N,071-03-24.7000W,255804.7000W
'03NH,"MILDFORD, NH 03055","MILDFORD, NH 03055",03055,03055,42-48-55.6100N,154135.6100N,071-07-27.8200W,256047.8200W
'NH94,"MILFORD, NH 03055","MILFORD, NH 03055",03055,03055,42-48-28.0000N,154108.0000N,071-41-09.0000W,258069.0000W
'34NH,"MILFORD, NH 03055","MILFORD, NH 03055",03055,03055,42-48-53.0400N,154133.0400N,071-39-39.9000W,257979.9000W
'NH05,"MONT VERNON, NH 03057-1902","MONT VERNON, NH 03057-1902",03057-1902,03057-1902,42-53-58.0000N,154438.0000N,071-38-48.0000W,257928.0000W
'5M3,"WOLFEBORO, NH 03894","WOLFEBORO, NH 03894",03894,03894,43-46-06.2670N,157566.2670N,071-23-12.2600W,256992.2600W
'NH30,"MOULTONBOROUGH, NH 03254","MOULTONBOROUGH, NH 03254",03254,03254,43-40-31.8000N,157231.8000N,071-24-09.8000W,257049.8000W
'ASH,"NASHUA, NH 03063","NASHUA, NH 03063",03063,03063,42-46-56.6900N,154016.6900N,071-30-50.7400W,257450.7400W
'NH42,"BEDFORD, MA 01730","BEDFORD, MA 01730",01730,01730,42-44-12.3200N,153852.3200N,071-28-53.2370W,257333.2370W
'15NH,"BRAINTREE, MA 02184","BRAINTREE, MA 02184",02184,02184,42-42-30.0000N,153750.0000N,071-27-30.0000W,257250.0000W
'NH37,"NASHUA, NH 03061","NASHUA, NH 03061",03061,03061,42-45-20.0800N,153920.0800N,071-27-41.6400W,257261.6400W
'3NH2,"AMHERST, NH 03031","AMHERST, NH 03031",03031,03031,42-58-25.5500N,154705.5500N,072-05-05.0200W,259505.0200W
'28NH,"NEW BOSTON, NH 03070","NEW BOSTON, NH 03070",03070,03070,42-56-12.7000N,154572.7000N,071-40-10.3000W,258010.3000W
'NH46,"NEW BOSTON, NH 03070","NEW BOSTON, NH 03070",03070,03070,42-58-47.2990N,154727.2990N,071-41-44.2650W,258104.2650W
